iter	Passed	Remaining
899	2763	307
900	2766	303
901	2768	300
902	2771	297
903	2774	294
904	2778	291
905	2780	288
906	2783	285
907	2785	282
908	2787	279
909	2791	276
910	2793	272
911	2796	269
912	2799	266
913	2801	263
914	2803	260
915	2807	257
916	2810	254
917	2813	251
918	2815	248
919	2818	245
920	2821	242
921	2824	238
922	2826	235
923	2829	232
924	2832	229
925	2834	226
926	2837	223
927	2840	220
928	2843	217
929	2845	214
930	2847	211
931	2850	207
932	2852	204
933	2855	201
934	2858	198
935	2860	195
936	2862	192
937	2865	189
938	2867	186
939	2872	183
940	2875	180
941	2878	177
942	2880	174
943	2882	171
944	2887	168
945	2890	164
946	2892	161
947	2894	158
948	2896	155
949	2899	152
950	2903	149
951	2905	146
952	2908	143
953	2910	140
954	2912	137
955	2915	134
956	2919	131
957	2922	128
958	2924	125
959	2926	121
960	2929	118
961	2931	115
962	2935	112
963	2937	109
964	2940	106
965	2942	103
966	2944	100
967	2948	97
968	2951	94
969	2953	91
970	2956	88
971	2958	85
972	2961	82
973	2964	79
974	2968	76
975	2970	73
976	2972	69
977	2975	66
978	2978	63
979	2982	60
980	2985	57
981	2987	54
982	2989	51
983	2992	48
984	2994	45
985	2998	42
986	3001	39
987	3003	36
988	3006	33
989	3008	30
990	3011	27
991	3014	24
992	3017	21
993	3019	18
994	3022	15
995	3024	12
996	3027	9
997	3030	6
998	3032	3
999	3035	0
